id,su,plot,site,longitude,latitude,geometry,species,inventory_date,soil_sampling_date,agb,bgb,total_biomass,cagb,cbgb,soil_carbon_stock,total_carbon_stock,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,VV,VH
SU4P2,4,P2,Fresco,-5.5798215540486575,5.103097423248419,"POLYGON ((-5.579934864344472 5.103175272721216, -5.579760400182563 5.1032207484262315, -5.579708243772981 5.103019573746323, -5.57988270789841 5.102974098080946, -5.579934864344472 5.103175272721216))",Palétuvier rouge (Rhizophora mangle),2025-01-18,2025-02-17,24.07,7.002,31.072,12.034,2.731,1448.632,1463.398,0.029448053545859,0.04564560082459,0.0644372264159663,0.0525189517743494,0.0907424710464054,0.2296675946910168,0.2775561660276048,0.273608801631153,0.2998153905426791,0.2871935610642086,0.1226905237587071,0.0624113362250997,-5.295006703343422,-14.008983499714232
SU4P3,4,P3,Fresco,-5.579770981887404,5.102902359204017,"POLYGON ((-5.579884292135458 5.102980208706624, -5.579709828008922 5.103025684373206, -5.579657671659487 5.102824509672108, -5.579832135749546 5.102779034045169, -5.579884292135458 5.102980208706624))",Palétuvier rouge (Rhizophora mangle),2025-01-18,2025-02-17,45.597,10.728,56.325,22.799,4.184,1548.54,1575.522,0.0288830788651648,0.0467811335042093,0.0604080366862657,0.0517901857265361,0.0881865471538452,0.2222757165756726,0.2697352825233778,0.2652135362782454,0.2965973799200429,0.2871142006061605,0.1192896788381985,0.060977411237364,-6.059585590869499,-13.867680797454256
SU4P4,4,P4,Fresco,-5.579725370279372,5.102726428510884,"POLYGON ((-5.579838680484351 5.10280427804038, -5.579664216389716 5.102849753672295, -5.579612060094529 5.10264857895209, -5.57978652415269 5.102603103359813, -5.579838680484351 5.10280427804038))",Palétuvier rouge (Rhizophora mangle),2025-01-18,2025-02-17,86.512,26.492,113.003,43.255,10.331,1092.39,1145.976,0.0268589676123005,0.0441760572426764,0.060136124816315,0.0496948396411997,0.0886577836501013,0.2184643783368636,0.2690022013665456,0.2641700541509186,0.2906870496051162,0.2888884148521069,0.1171199669100205,0.0603225887729431,-6.501682823079807,-14.020387981176604
SU4P5,4,P5,Fresco,-5.579663921873019,5.102489412637288,"POLYGON ((-5.579777232019967 5.102567262203008, -5.579602767968308 5.102612737788221, -5.579550611746203 5.102411563042272, -5.57972507576139 5.102366087496695, -5.579777232019967 5.102567262203008))",Palétuvier rouge (Rhizophora mangle),2025-01-18,2025-02-17,83.563,24.474,108.037,41.782,9.545,1354.254,1405.581,0.0263999998569488,0.0432561755167752,0.0598309646894786,0.0490758883059277,0.0892701353657165,0.2197972060813112,0.2711853556171085,0.2664605749490499,0.2943131955696645,0.2894000113010406,0.116854738343236,0.0616600677976148,-5.5271472843158005,-12.419660819666667
SU5P1,5,P1,Fresco,-5.579808697609622,5.101540132316616,"POLYGON ((-5.579866607776282 5.101665021772622, -5.579693392225037 5.1016149782122575, -5.57975078748233 5.101415242845852, -5.579924002968753 5.10146528641591, -5.579866607776282 5.101665021772622))",Palétuvier rouge (Rhizophora mangle),2025-01-20,2025-02-17,264.845,39.107,303.952,132.422,15.251,1109.988,1257.662,0.0286730114203545,0.0436606592516054,0.0643856185228389,0.0555563455860425,0.0961275786388344,0.2224803679006555,0.2674525311301808,0.2596353707731073,0.2899449234434393,0.2650279204302835,0.1297269853465448,0.068154650763963,-5.354763020682815,-12.77418942795083
SU5P2,5,P2,Fresco,-5.579869016006226,5.101330224311607,"POLYGON ((-5.5799269261424955 5.101455113766528, -5.57975371065937 5.101405070195977, -5.579811105909325 5.101205334841931, -5.579984321327629 5.101255378422174, -5.5799269261424955 5.101455113766528))",Palétuvier rouge (Rhizophora mangle),2025-01-20,2025-02-17,300.694,96.094,396.788,150.346,37.477,1152.36,1340.183,0.0295595601453192,0.0484104903411693,0.0658994089503175,0.0568047382958649,0.0989235175581248,0.2194009298323173,0.2631821470514772,0.2693663320540373,0.2842718371632942,0.2697746178825495,0.1338523673980974,0.0706706436038925,-6.571226796674432,-11.994303390599818
SU5P3,5,P3,Fresco,-5.57993464097352,5.101101849426213,"POLYGON ((-5.579992551076724 5.101226738879952, -5.579819335667713 5.101176695298317, -5.5798767309096835 5.100976959957714, -5.580049946253875 5.101027003549043, -5.579992551076724 5.101226738879952))",Palétuvier rouge (Rhizophora mangle),2025-01-20,2025-02-17,242.427,43.263,285.69,121.213,16.873,1025.236,1163.322,0.0295976272799958,0.0466684743825156,0.0683138997309793,0.0565076270440624,0.10247601534603,0.2232914416971853,0.2627070383247682,0.2603550853618121,0.2834058448419732,0.2743812735808097,0.1303555907965717,0.0712444919587696,-6.9306108030010645,-12.947165008128229
SU5P4,5,P4,Fresco,-5.5800071056303935,5.10084967240214,"POLYGON ((-5.580065015697084 5.1009745618545725, -5.579891800369908 5.100924518260697, -5.579949195603068 5.100724782934946, -5.580122410865428 5.100774826538517, -5.580065015697084 5.1009745618545725))",Palétuvier rouge (Rhizophora mangle),2025-01-20,2025-02-17,144.345,34.76,179.105,72.172,13.556,1387.712,1473.441,0.036200001835823,0.050530795058371,0.0730663283575206,0.0598692051788977,0.1074749578023723,0.2350791870740868,0.2733299596559779,0.2752402687032412,0.2963113322879255,0.2793999910354614,0.1330639599442683,0.0701077849605765,-6.5312610121157375,-12.676838873448464
SU5P5,5,P5,Fresco,-5.5800586975944215,5.100670132342229,"POLYGON ((-5.580116607635116 5.1007950217937355, -5.579943392366201 5.100744978191145, -5.5800007875930895 5.1005452428759614, -5.5801740027971904 5.1005952864882484, -5.580116607635116 5.1007950217937355))",Palétuvier rouge (Rhizophora mangle),2025-01-20,2025-02-17,219.854,37.508,257.362,109.928,14.628,653.352,777.908,0.036200001835823,0.0514095603518326,0.0741849411436547,0.0594257192588497,0.105796362782392,0.2297757214625475,0.26774636304318,0.2684458572600295,0.2884076138085319,0.2721021965070425,0.1351154810810452,0.0722928927256371,-6.478413826732643,-12.217416906992677
SU6P1,6,P1,Sassandra,-6.092701896859516,4.962231638817315,"POLYGON ((-6.092575811690591 4.962177154578285, -6.092738188304302 4.96209884540604, -6.092827982051046 4.9622861230478135, -6.092665605376227 4.962364432221102, -6.092575811690591 4.962177154578285))","Palétuvier rouge (Rhizophora mangle), Palétuvier blanc (Laguncularia racemosa)",2025-02-07,2025-02-17,129.39,51.557,180.947,64.695,20.108,516.054,600.856,0.4382599906396057,0.4023999936247276,0.3978237299848411,0.3897111881334903,0.4298300046789444,0.4625378012404604,0.4861755045036138,0.4779779706718558,0.4887284664279324,0.706901040925818,0.4372162735058089,0.3813811813875781,-8.642429025314142,-18.034457995635535
